"","Time","Well","OD600","Colony","Dose"
"108",360,"V2",0.28475,"B","Wtsham"
"109",375,"V2",0.304666666666667,"B","Wtsham"
"110",390,"V2",0.319416666666667,"B","Wtsham"
"111",405,"V2",0.345083333333333,"B","Wtsham"
"112",420,"V2",0.36475,"B","Wtsham"
"113",435,"V2",0.382916666666667,"B","Wtsham"
"114",450,"V2",0.401166666666667,"B","Wtsham"
"115",465,"V2",0.421333333333333,"B","Wtsham"
"116",480,"V2",0.440083333333333,"B","Wtsham"
"117",495,"V2",0.455416666666667,"B","Wtsham"
"118",510,"V2",0.48025,"B","Wtsham"
"119",525,"V2",0.497666666666667,"B","Wtsham"
"120",540,"V2",0.517916666666667,"B","Wtsham"
"121",555,"V2",0.540666666666667,"B","Wtsham"
"122",570,"V2",0.558666666666667,"B","Wtsham"
"123",585,"V2",0.57925,"B","Wtsham"
"124",600,"V2",0.604166666666667,"B","Wtsham"
"125",615,"V2",0.622583333333333,"B","Wtsham"
"126",630,"V2",0.6435,"B","Wtsham"
"127",645,"V2",0.660083333333333,"B","Wtsham"
"128",660,"V2",0.672,"B","Wtsham"
"129",675,"V2",0.686666666666667,"B","Wtsham"
"130",690,"V2",0.695916666666667,"B","Wtsham"
"131",705,"V2",0.713083333333333,"B","Wtsham"
"132",720,"V2",0.725166666666667,"B","Wtsham"
"133",735,"V2",0.736,"B","Wtsham"
"134",750,"V2",0.751,"B","Wtsham"
"135",765,"V2",0.762916666666667,"B","Wtsham"
"136",780,"V2",0.769416666666667,"B","Wtsham"
"137",795,"V2",0.77875,"B","Wtsham"
"138",810,"V2",0.78625,"B","Wtsham"
"139",825,"V2",0.798916666666667,"B","Wtsham"
"140",840,"V2",0.811083333333333,"B","Wtsham"
"141",855,"V2",0.814416666666667,"B","Wtsham"
"142",870,"V2",0.817916666666667,"B","Wtsham"
"143",885,"V2",0.827166666666667,"B","Wtsham"
"144",900,"V2",0.829166666666667,"B","Wtsham"
"145",915,"V2",0.841583333333333,"B","Wtsham"
"146",930,"V2",0.848916666666667,"B","Wtsham"
"147",945,"V2",0.852166666666667,"B","Wtsham"
"148",960,"V2",0.855583333333333,"B","Wtsham"
"149",975,"V2",0.858166666666667,"B","Wtsham"
"150",990,"V2",0.86825,"B","Wtsham"
"151",1005,"V2",0.867583333333333,"B","Wtsham"
"152",1020,"V2",0.880666666666667,"B","Wtsham"
"153",1035,"V2",0.87775,"B","Wtsham"
"154",1050,"V2",0.890333333333333,"B","Wtsham"
"155",1065,"V2",0.894,"B","Wtsham"
"156",1080,"V2",0.8905,"B","Wtsham"
"157",1095,"V2",0.899583333333333,"B","Wtsham"
"158",1110,"V2",0.904,"B","Wtsham"
"159",1125,"V2",0.904083333333333,"B","Wtsham"
"160",1140,"V2",0.907,"B","Wtsham"
"161",1155,"V2",0.9005,"B","Wtsham"
"162",1170,"V2",0.906166666666667,"B","Wtsham"
"163",1185,"V2",0.912333333333333,"B","Wtsham"
"164",1200,"V2",0.921166666666667,"B","Wtsham"
"165",1215,"V2",0.923083333333333,"B","Wtsham"
"166",1230,"V2",0.9265,"B","Wtsham"
"167",0,"V3",0.0145833333333333,"C","Wtsham"
"168",15,"V3",0.01425,"C","Wtsham"
"169",30,"V3",0.0185,"C","Wtsham"
"170",45,"V3",0.0171666666666667,"C","Wtsham"
"171",60,"V3",0.0183333333333333,"C","Wtsham"
"172",75,"V3",0.02125,"C","Wtsham"
"173",90,"V3",0.0241666666666667,"C","Wtsham"
"174",105,"V3",0.0299166666666667,"C","Wtsham"
"175",120,"V3",0.0335833333333333,"C","Wtsham"
"176",135,"V3",0.0419166666666667,"C","Wtsham"
"177",150,"V3",0.0491666666666667,"C","Wtsham"
"178",165,"V3",0.05575,"C","Wtsham"
"179",180,"V3",0.07075,"C","Wtsham"
"180",195,"V3",0.0769166666666667,"C","Wtsham"
"181",210,"V3",0.0878333333333333,"C","Wtsham"
"182",225,"V3",0.103583333333333,"C","Wtsham"
"183",240,"V3",0.115583333333333,"C","Wtsham"
"184",255,"V3",0.132,"C","Wtsham"
"185",270,"V3",0.14775,"C","Wtsham"
"186",285,"V3",0.165333333333333,"C","Wtsham"
"187",300,"V3",0.186833333333333,"C","Wtsham"
"188",315,"V3",0.204416666666667,"C","Wtsham"
"189",330,"V3",0.228333333333333,"C","Wtsham"
"190",345,"V3",0.247416666666667,"C","Wtsham"
"191",360,"V3",0.264416666666667,"C","Wtsham"
"192",375,"V3",0.282,"C","Wtsham"
"193",390,"V3",0.296083333333333,"C","Wtsham"
"194",405,"V3",0.322083333333333,"C","Wtsham"
"195",420,"V3",0.34175,"C","Wtsham"
"196",435,"V3",0.354583333333333,"C","Wtsham"
"197",450,"V3",0.381166666666667,"C","Wtsham"
"198",465,"V3",0.397333333333333,"C","Wtsham"
"199",480,"V3",0.413083333333333,"C","Wtsham"
"200",495,"V3",0.425083333333333,"C","Wtsham"
"201",510,"V3",0.454583333333333,"C","Wtsham"
"202",525,"V3",0.466666666666667,"C","Wtsham"
"203",540,"V3",0.485916666666667,"C","Wtsham"
"204",555,"V3",0.510666666666667,"C","Wtsham"
"205",570,"V3",0.525333333333333,"C","Wtsham"
"206",585,"V3",0.544583333333333,"C","Wtsham"
"207",600,"V3",0.573166666666667,"C","Wtsham"
"208",615,"V3",0.590916666666667,"C","Wtsham"
"209",630,"V3",0.6115,"C","Wtsham"
"210",645,"V3",0.632416666666667,"C","Wtsham"
"211",660,"V3",0.646333333333333,"C","Wtsham"
"212",675,"V3",0.668,"C","Wtsham"
"213",690,"V3",0.67825,"C","Wtsham"
"214",705,"V3",0.69675,"C","Wtsham"
"215",720,"V3",0.7095,"C","Wtsham"
"216",735,"V3",0.722666666666667,"C","Wtsham"
"217",750,"V3",0.741666666666667,"C","Wtsham"
"218",765,"V3",0.747583333333333,"C","Wtsham"
"219",780,"V3",0.758083333333333,"C","Wtsham"
"220",795,"V3",0.771083333333333,"C","Wtsham"
"221",810,"V3",0.781916666666667,"C","Wtsham"
"222",825,"V3",0.790916666666667,"C","Wtsham"
"223",840,"V3",0.799083333333333,"C","Wtsham"
"224",855,"V3",0.807083333333333,"C","Wtsham"
"225",870,"V3",0.811583333333333,"C","Wtsham"
"226",885,"V3",0.821166666666667,"C","Wtsham"
"227",900,"V3",0.817166666666667,"C","Wtsham"
"228",915,"V3",0.82925,"C","Wtsham"
"229",930,"V3",0.838583333333333,"C","Wtsham"
"230",945,"V3",0.838166666666667,"C","Wtsham"
"231",960,"V3",0.838916666666667,"C","Wtsham"
"232",975,"V3",0.8455,"C","Wtsham"
"233",990,"V3",0.853916666666667,"C","Wtsham"
"234",1005,"V3",0.843916666666667,"C","Wtsham"
"235",1020,"V3",0.860333333333333,"C","Wtsham"
"236",1035,"V3",0.857083333333333,"C","Wtsham"
"237",1050,"V3",0.867,"C","Wtsham"
"238",1065,"V3",0.865,"C","Wtsham"
"239",1080,"V3",0.8645,"C","Wtsham"
"240",1095,"V3",0.865916666666667,"C","Wtsham"
"241",1110,"V3",0.87,"C","Wtsham"
"242",1125,"V3",0.864416666666667,"C","Wtsham"
"243",1140,"V3",0.863333333333333,"C","Wtsham"
"244",1155,"V3",0.845833333333333,"C","Wtsham"
"245",1170,"V3",0.849833333333333,"C","Wtsham"
"246",1185,"V3",0.856666666666667,"C","Wtsham"
"247",1200,"V3",0.872833333333333,"C","Wtsham"
"248",1215,"V3",0.87075,"C","Wtsham"
"249",1230,"V3",0.870833333333333,"C","Wtsham"
"250",0,"V4",0.0135833333333333,"E","Wtsham"
"251",15,"V4",0.0159166666666667,"E","Wtsham"
"252",30,"V4",0.0161666666666667,"E","Wtsham"
"253",45,"V4",0.0125,"E","Wtsham"
"254",60,"V4",0.0233333333333333,"E","Wtsham"
"255",75,"V4",0.0315833333333333,"E","Wtsham"
"256",90,"V4",0.0278333333333333,"E","Wtsham"
"257",105,"V4",0.0325833333333333,"E","Wtsham"
"258",120,"V4",0.0349166666666667,"E","Wtsham"
"259",135,"V4",0.0435833333333333,"E","Wtsham"
"260",150,"V4",0.0458333333333333,"E","Wtsham"
"261",165,"V4",0.0540833333333333,"E","Wtsham"
"262",180,"V4",0.0640833333333333,"E","Wtsham"
"263",195,"V4",0.07125,"E","Wtsham"
"264",210,"V4",0.0825,"E","Wtsham"
"265",225,"V4",0.0929166666666667,"E","Wtsham"
"266",240,"V4",0.102916666666667,"E","Wtsham"
"267",255,"V4",0.118666666666667,"E","Wtsham"
"268",270,"V4",0.129083333333333,"E","Wtsham"
